Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
2026-06-19,0,4,1,5
2026-06-20,0,2,0,2
2026-06-21,0,0,1,1
2026-06-22,0,1,1,2
2026-06-23,0,4,1,5
2026-06-24,0,1,1,2
2026-06-25,0,0,0,0
2026-06-26,0,1,0,1
2026-06-27,0,1,1,2
2026-06-28,0,1,0,1
2026-06-29,0,1,1,2
2026-06-30,0,2,0,2
2026-07-01,0,2,0,2
2026-07-02,0,1,1,2
2026-07-03,0,1,0,1
2026-07-04,0,0,0,0
2026-07-05,0,1,1,2
2026-07-06,0,0,0,0
2026-07-07,0,0,0,0
2026-07-08,0,4,0,4
2026-07-09,0,0,0,0
2026-07-10,0,1,1,2
2026-07-11,0,1,0,1
2026-07-12,0,1,0,1
2026-07-13,0,1,0,1
2026-07-14,0,3,0,3
2026-07-15,0,0,0,0
2026-07-16,0,3,0,3
2026-07-17,0,1,0,1
2026-07-18,0,1,0,1
